X_world,Y_world,R_world
-6.425490422369596111e+00,6.599462142062816383e+02,1.405002611074695207e-01
-6.797096963637563327e+00,6.639480977185580741e+02,1.668440600651200645e-01
-6.802831894826875114e+00,6.631571459233953192e+02,1.229377284690358341e-01
-1.159310346507935385e+01,6.733388034805395819e+02,9.659392951138529027e-02
-1.188496824437977040e+01,6.609216806029319287e+02,7.025013055373476034e-02
-7.453942917689625247e+00,6.675379341863759919e+02,1.317189947882526635e-01
-1.890280711132229996e+01,6.613740258875395739e+02,1.405002611074695207e-01
-9.804385675187996085e+00,6.861188988175880468e+02,1.931878590227705805e-01
-7.146102869981339367e+00,6.830038971420292455e+02,1.580627937459032073e-01
-1.556310117356758127e+01,6.796344354715960208e+02,2.107503916612042949e-01
-1.334514200025621733e+01,6.860355490918365149e+02,2.019691253419874377e-01
-1.281046970951321207e+01,7.001497644475862216e+02,2.195316579804211243e-01
-1.008553971635167912e+01,6.946295670591370026e+02,2.370941906188548109e-01
-8.774402381435066900e+00,6.976366477471251528e+02,1.580627937459032073e-01
-6.421866655606522478e+00,6.969183650968445818e+02,1.053751958306021475e-01
-8.545593739707678438e+00,6.887331583136947302e+02,1.756253263843368939e-01
-8.918874833710715322e+00,6.909232270119308623e+02,1.668440600651200645e-01
-1.326229146785010649e+01,7.031361003951941484e+02,1.844065927035537511e-01
-8.787824493072603715e+00,6.975093393744614332e+02,1.317189947882526635e-01
-8.360811476080252547e+00,6.790780947293488907e+02,1.229377284690358341e-01
-1.051230149327289176e+01,6.940327076898157657e+02,1.141564621498189908e-01
-7.530567964302652406e+00,6.806212043152992237e+02,1.053751958306021475e-01
-6.385600072643324410e+00,7.010924548176689086e+02,1.053751958306021475e-01
-8.594138639779995259e+00,6.828713513240850261e+02,9.659392951138529027e-02
-8.046734393577402500e+00,6.944918987539062982e+02,7.903139687295160365e-02
-9.794973015849276265e+00,6.959964898330489405e+02,7.025013055373476034e-02
-1.339340580738431719e+01,6.859085983004035825e+02,1.580627937459032073e-01
-8.690312454234874195e+00,6.968087560334147383e+02,9.659392951138529027e-02
-8.820814698758393746e+00,6.907121727613504163e+02,1.229377284690358341e-01
-7.404973161289597705e+00,6.889813677764032036e+02,7.025013055373476034e-02
-1.030453328530719403e+01,6.942407132087776063e+02,7.903139687295160365e-02
-9.653913499968636458e+00,6.960755258403673906e+02,8.781266319216844696e-02
